bundle_id,vendor_id,name,description,retail_price,price,category,posting_time,collection_start,collection_end
0cd9b33a-1202-48f1-a42e-a65b895b5e1f,0085a9a8-b124-44e7-8cb3-141046bc183e,Blackbean Cafe Drinks & Beverages Bundle,Drinks & Beverages bundle from Blackbean Cafe. Contains 5 product(s).,23.25,10.09,DRINKS_BEVERAGES,2025-09-16T09:23:48,2025-09-16T11:00:00,2025-09-16T12:00:00
674f503f-3410-4bd1-a351-2f19ac8d3ecf,8da7113a-8d38-4500-bc1d-2280b1ae3ce2,Bean & Brew Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Bean & Brew. Contains 6 product(s).,22.5,15.59,SWEET_TREATS_DESSERTS,2025-11-08T11:46:32,2025-11-08T14:00:00,2025-11-08T15:00:00
701436ec-efb2-42a1-9182-44f944a0de2f,3cdd20b4-f7cd-40a4-8004-f816ec230b1a,Delectable Deserts Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Delectable Deserts. Contains 3 product(s).,24.4,10.8,SWEET_TREATS_DESSERTS,2025-08-10T14:10:09,2025-08-10T17:00:00,2025-08-10T18:00:00
3e301d56-2a8a-4dfb-9271-9fb91fbd681c,1a07fa2b-b9e1-44cc-938c-88534eacef52,Azure Bakery Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Azure Bakery. Contains 5 product(s).,17.8,9.34,SWEET_TREATS_DESSERTS,2025-07-07T07:25:27,2025-07-07T13:00:00,2025-07-07T15:00:00
512c6c87-2265-46f1-ac40-657777f4a483,22c4d814-1516-45f9-9354-3640c8e65f07,The Bull Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from The Bull. Contains 1 product(s).,21.0,8.82,VEGAN_VEGETARIAN,2025-02-04T18:49:21,2025-02-04T21:00:00,2025-02-04T22:00:00
7adad53e-477d-49b7-9df0-038ced8c9380,c8889f66-3499-4abc-80a1-2f5757cd0550,Hiltop Heights Breakfast Items Bundle,Breakfast Items bundle from Hiltop Heights. Contains 1 product(s).,0.75,0.19,BREAKFAST_ITEMS,2025-05-19T07:33:37,2025-05-19T17:00:00,2025-05-19T18:00:00
36156ae6-3a0e-4010-be18-6efb9e017717,c3d3af36-d366-482c-944f-ee9d88205a02,Grab & Go Drinks & Beverages Bundle,Drinks & Beverages bundle from Grab & Go. Contains 6 product(s).,19.7,14.22,DRINKS_BEVERAGES,2025-07-20T13:43:39,2025-07-20T21:00:00,2025-07-20T22:00:00
b2b1869a-b901-416f-b8c7-0d856175da54,b2a96f86-86a1-4b87-b406-23e8d789c14b,Grill King Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from Grill King. Contains 3 product(s).,10.95,5.79,VEGAN_VEGETARIAN,2025-06-11T09:59:14,2025-06-11T12:00:00,2025-06-11T16:00:00
c767e909-5670-45b9-8ff2-5fa9be8276b2,22c4d814-1516-45f9-9354-3640c8e65f07,The Bull Vegan & Vegetarian Bundle,Vegan & Vegetarian bundle from The Bull. Contains 1 product(s).,22.0,15.41,VEGAN_VEGETARIAN,2025-04-29T20:09:24,2025-04-29T21:00:00,2025-04-29T22:00:00
0f056d55-6b6f-4b63-bf2d-f7e310735a07,412bf86d-6c5e-40b4-94ac-403cc110a119,Twins Breakfast Bar Drinks & Beverages Bundle,Drinks & Beverages bundle from Twins Breakfast Bar. Contains 5 product(s).,21.75,15.52,DRINKS_BEVERAGES,2025-12-09T10:10:10,2025-12-09T11:00:00,2025-12-09T12:00:00
b0bb4019-553e-40da-bcb5-b0ba73c1ffbf,0085a9a8-b124-44e7-8cb3-141046bc183e,Blackbean Cafe Drinks & Beverages Bundle,Drinks & Beverages bundle from Blackbean Cafe. Contains 4 product(s).,19.6,5.79,DRINKS_BEVERAGES,2025-06-25T09:07:29,2025-06-25T15:00:00,2025-06-25T16:00:00
324dab4e-5344-40f5-9755-529689d9a963,fa4c555e-72f6-4d8c-8ab2-8b9f2a592993,TSB Drinks & Beverages Bundle,Drinks & Beverages bundle from TSB. Contains 3 product(s).,22.35,15.47,DRINKS_BEVERAGES,2025-12-30T06:58:07,2025-12-30T10:00:00,2025-12-30T11:00:00
76595772-b821-4911-afc4-92ac33913073,1a07fa2b-b9e1-44cc-938c-88534eacef52,Azure Bakery Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Azure Bakery. Contains 5 product(s).,15.95,7.65,SWEET_TREATS_DESSERTS,2025-07-20T10:42:34,2025-07-20T11:00:00,2025-07-20T12:00:00
eef5b9ae-36e2-441e-b630-abf14f2b7d3c,224ac6b1-9c09-4247-bb31-1f3a65903eb3,Juice Junction Drinks & Beverages Bundle,Drinks & Beverages bundle from Juice Junction. Contains 3 product(s).,22.35,7.49,DRINKS_BEVERAGES,2025-10-19T11:23:07,2025-10-19T14:00:00,2025-10-19T15:00:00
c18d62c3-8bfb-4da3-aa9a-982260ce3019,dfc9a97b-0ac4-43cf-9169-040389892f81,The Bladebone Ready Meals & Hot Food Bundle,Ready Meals & Hot Food bundle from The Bladebone. Contains 1 product(s).,25.0,7.82,READY_MEALS_HOT_FOOD,2025-05-25T19:12:16,2025-05-25T21:00:00,2025-05-25T22:00:00
f1e35537-b487-4dd2-9b3b-c359bf459c68,3cdd20b4-f7cd-40a4-8004-f816ec230b1a,Delectable Deserts Sweet Treats & Desserts Bundle,Sweet Treats & Desserts bundle from Delectable Deserts. Contains 2 product(s).,15.9,6.1,SWEET_TREATS_DESSERTS,2025-08-22T19:06:04,2025-08-22T20:00:00,2025-08-22T21:00:00
00377f4f-3b87-46f6-a650-73a9ba71f44d,9ab7d98a-a260-46ec-8aab-d3235a493e22,Coffee & Go Ready Meals & Hot Food Bundle,Ready Meals & Hot Food bundle from Coffee & Go. Contains 5 product(s).,22.0,5.74,READY_MEALS_HOT_FOOD,2025-03-28T15:06:28,2025-03-28T16:00:00,2025-03-28T17:00:00
923e5799-8826-41b0-acc5-25e5d6158bf3,8da7113a-8d38-4500-bc1d-2280b1ae3ce2,Bean & Brew Breakfast Items Bundle,Breakfast Items bundle from Bean & Brew. Contains 7 product(s).,24.3,16.34,BREAKFAST_ITEMS,2025-10-18T09:06:09,2025-10-18T11:00:00,2025-10-18T15:00:00
eb7936c3-8a15-4f05-976a-7495314f008b,224ac6b1-9c09-4247-bb31-1f3a65903eb3,Juice Junction Drinks & Beverages Bundle,Drinks & Beverages bundle from Juice Junction. Contains 1 product(s).,7.45,2.18,DRINKS_BEVERAGES,2025-07-23T06:33:51,2025-07-23T07:00:00,2025-07-23T11:00:00
dcbb6128-8dd6-4cc1-9977-222906ba7b3a,046a72cd-ba93-439a-9d76-80adb8250be0,Fresh Harvest Drinks & Beverages Bundle,Drinks & Beverages bundle from Fresh Harvest. Contains 7 product(s).,20.0,11.07,DRINKS_BEVERAGES,2025-02-01T20:20:18,2025-02-01T21:00:00,2025-02-01T22:00:00
d6272679-196e-4b34-8038-c8970dca4ac8,046a72cd-ba93-439a-9d76-80adb8250be0,Fresh Harvest Breakfast Items Bundle,Breakfast Items bundle from Fresh Harvest. Contains 10 product(s).,22.83,9.6,BREAKFAST_ITEMS,2025-06-18T10:43:52,2025-06-18T20:00:00,2025-06-18T21:00:00
028334f2-10ae-4cf2-b173-8e58684d9341,fa4c555e-72f6-4d8c-8ab2-8b9f2a592993,TSB Drinks & Beverages Bundle,Drinks & Beverages bundle from TSB. Contains 3 product(s).,22.35,12.53,DRINKS_BEVERAGES,2025-10-20T08:45:44,2025-10-20T14:00:00,2025-10-20T16:00:00
