price,discount,category,weather_condition,temp,day,lead_time,window_length,collection_time,reservation_occurred
10.09,56.60215053763441,Drinks & Beverages,Patchy rain possible,13.9,Tuesday,1.6033333333333333,1.0,11.0,False
15.59,30.711111111111112,Sweet Treats & Desserts,Mist,9.7,Saturday,2.2244444444444444,1.0,14.0,True
10.8,55.73770491803278,Sweet Treats & Desserts,Mist,17.0,Sunday,2.8308333333333335,1.0,17.0,True
9.34,47.528089887640455,Sweet Treats & Desserts,Patchy rain possible,15.3,Monday,5.575833333333334,2.0,13.0,True
8.82,57.99999999999999,Vegan & Vegetarian,Moderate rain at times,8.0,Tuesday,2.1775,1.0,21.0,False
0.19,74.66666666666666,Breakfast Items,Patchy rain possible,12.4,Monday,9.439722222222223,1.0,17.0,True
14.22,27.81725888324873,Drinks & Beverages,Light rain shower,16.8,Sunday,7.2725,1.0,21.0,False
5.79,47.12328767123287,Vegan & Vegetarian,Partly cloudy,15.8,Wednesday,2.012777777777778,4.0,12.0,True
15.41,29.954545454545457,Vegan & Vegetarian,Sunny,12.3,Tuesday,0.8433333333333334,1.0,21.0,False
15.52,28.64367816091954,Drinks & Beverages,Light rain,12.2,Tuesday,0.8305555555555556,1.0,11.0,False
5.79,70.4591836734694,Drinks & Beverages,Patchy rain possible,17.2,Wednesday,5.875277777777778,1.0,15.0,True
15.47,30.78299776286354,Drinks & Beverages,Overcast,3.2,Tuesday,3.031388888888889,1.0,10.0,False
7.65,52.037617554858926,Sweet Treats & Desserts,Light rain shower,16.8,Sunday,0.29055555555555557,1.0,11.0,True
7.49,66.48769574944072,Drinks & Beverages,Light rain shower,14.0,Sunday,2.6147222222222224,1.0,14.0,True
7.82,68.72,Ready Meals & Hot Food,Patchy rain possible,13.4,Sunday,1.7955555555555556,1.0,21.0,True
6.1,61.63522012578617,Sweet Treats & Desserts,Partly cloudy,16.8,Friday,0.8988888888888888,1.0,20.0,True
5.74,73.9090909090909,Ready Meals & Hot Food,Moderate rain at times,8.4,Friday,0.8922222222222222,1.0,16.0,True
16.34,32.757201646090536,Breakfast Items,Overcast,13.6,Saturday,1.8975,4.0,11.0,True
2.18,70.73825503355704,Drinks & Beverages,Light rain shower,17.0,Wednesday,0.43583333333333335,4.0,7.0,True
11.07,44.65,Drinks & Beverages,Overcast,5.0,Saturday,0.6616666666666666,1.0,21.0,False
9.6,57.95006570302233,Breakfast Items,Partly cloudy,16.9,Wednesday,9.268888888888888,1.0,20.0,True
12.53,43.93736017897092,Drinks & Beverages,Light rain shower,12.8,Monday,5.237777777777778,2.0,14.0,True
5.39,58.37837837837838,Sweet Treats & Desserts,Cloudy,16.3,Sunday,0.685,1.0,11.0,True
4.19,32.95999999999999,Snacks & Savoury Items,Patchy rain possible,11.6,Wednesday,1.1344444444444444,3.0,9.0,True
2.65,29.894179894179896,Fruit & Vegetables,Light rain,12.2,Tuesday,9.249444444444444,3.0,19.0,True
9.61,59.279661016949156,Drinks & Beverages,Partly cloudy,8.9,Monday,6.1130555555555555,1.0,16.0,True
3.74,65.37037037037037,Breakfast Items,Cloudy,10.1,Sunday,0.8069444444444445,1.0,15.0,True
13.78,33.10679611650487,Bread & Baked Goods,Mist,12.9,Tuesday,0.2861111111111111,2.0,13.0,True
5.33,49.81167608286252,Breakfast Items,Thundery outbreaks possible,18.3,Friday,2.19,1.0,15.0,True
